Phone (Language),Response,value
ɯ (tr),o,0.030508474576271184
ɯ (tr),ø,0.08135593220338985
ɯ (tr),œ,0.05310734463276837
ɯ (tr),ɔ,0.0033898305084745766
ɯ (tr),ɔ̃,0.05310734463276839
ɯ (tr),u,0.07005649717514127
ɯ (tr),y,0.09830508474576274
ʊ (de-mun),a,0.003703703703703704
ʊ (de-mun),ɑ̃,0.13796296296296304
ʊ (de-mun),e,0.03703703703703704
ʊ (de-mun),ɛ,0.005555555555555556
ʊ (de-mun),ɛ̃,0.09629629629629632
ʊ (de-mun),i,0.09629629629629632
ʊ (de-mun),o,0.21666666666666679
ʊ (de-mun),ø,0.021296296296296296
ʊ (de-mun),œ,0.00462962962962963
ʊ (de-mun),ɔ,0.0287037037037037
ʊ (de-mun),ɔ̃,0.16944444444444445
ʊ (de-mun),u,0.14537037037037037
ʊ (de-mun),y,0.03703703703703704
ʊ (en-us),a,0.0877192982456139
ʊ (en-us),ɑ̃,0.07625730994152037
ʊ (en-us),e,0.02970760233918128
ʊ (en-us),ɛ,0.11228070175438587
ʊ (en-us),ɛ̃,0.20842105263157912
ʊ (en-us),i,0.039999999999999994
ʊ (en-us),o,0.056374269005847924
ʊ (en-us),ø,0.05754385964912279
